drug,protein,,,,
DB00337,2475,,,,
DB00877,2475,,,,
DB01590,2475,,,,
DB06287,2475,,,,
DB02656,2475,,,,
DB08059,2475,,,,
DB04786,2492,,,,
DB01254,2534,,,,
DB00398,2534,,,,
DB00619,2534,,,,
DB01268,2534,,,,
DB02567,2534,,,,
DB04716,2534,,,,
DB04849,2534,,,,
DB04868,2534,,,,
DB05294,2534,,,,
DB05424,2534,,,,
DB06616,2534,,,,
DB06999,2534,,,,
DB08865,2534,,,,
DB01708,2539,,,,
DB00284,2548,,,,
DB00491,2548,,,,
DB04878,2548,,,,
DB00273,2554,,,,
DB00292,2554,,,,
DB00402,2554,,,,
DB00543,2554,,,,
DB00794,2554,,,,
DB01205,2554,,,,
DB00402,2555,,,,
DB00794,2555,,,,
DB01205,2555,,,,
DB00402,2556,,,,
DB00794,2556,,,,
DB01205,2556,,,,
DB00794,2557,,,,
DB00402,2557,,,,
DB01205,2557,,,,
DB00402,2558,,,,
DB00794,2558,,,,
DB01205,2558,,,,
DB00794,2559,,,,
DB01205,2559,,,,
DB00818,2561,,,,
DB00818,2562,,,,
DB00317,2580,,,,
DB00530,2580,,,,
DB00619,2580,,,,
DB01268,2580,,,,
DB02567,2580,,,,
DB03496,2580,,,,
DB04849,2580,,,,
DB05294,2580,,,,
DB05424,2580,,,,
DB05465,2580,,,,
DB06616,2580,,,,
DB08568,2580,,,,
DB08877,2580,,,,
DB08916,2580,,,,
DB00536,2593,,,,
DB00145,2617,,,,
DB00642,2618,,,,
DB00145,2628,,,,
DB00145,2653,,,,
DB00260,2671,,,,
DB00170,2677,,,,
DB01136,2697,,,,
DB00145,2731,,,,
DB00328,2739,,,,
DB04216,2739,,,,
DB00145,2742,,,,
DB06743,2742,,,,
DB00145,2743,,,,
DB00860,2752,,,,
DB02587,2778,,,,
DB00128,2805,,,,
DB00128,2806,,,,
DB00468,2815,,,,
DB01183,2831,,,,
DB00530,2868,,,,
DB06616,2868,,,,
DB08568,2868,,,,
DB08877,2868,,,,
DB08865,2868,,,,
DB00317,2872,,,,
DB00398,2872,,,,
DB00530,2872,,,,
DB01268,2872,,,,
DB03044,2872,,,,
DB03496,2872,,,,
DB05294,2872,,,,
DB05424,2872,,,,
DB08568,2872,,,,
DB08877,2872,,,,
DB08916,2872,,,,
DB00780,2875,,,,
DB00794,2891,,,,
DB04599,2891,,,,
DB04599,2892,,,,
DB00273,2897,,,,
DB00794,2898,,,,
DB01173,2902,,,,
DB01043,2902,,,,
DB00145,2903,,,,
DB00949,2903,,,,
DB01043,2903,,,,
DB00502,2904,,,,
DB00949,2904,,,,
DB01043,2904,,,,
DB08954,2904,,,,
DB00145,2905,,,,
DB01173,2906,,,,
DB00180,2908,,,,
DB00351,2908,,,,
DB00443,2908,,,,
DB00588,2908,,,,
DB00591,2908,,,,
DB00596,2908,,,,
DB00620,2908,,,,
DB00635,2908,,,,
DB00663,2908,,,,
DB00741,2908,,,,
DB00834,2908,,,,
DB00860,2908,,,,
DB00959,2908,,,,
DB01013,2908,,,,
DB01047,2908,,,,
DB01222,2908,,,,
DB01234,2908,,,,
DB01260,2908,,,,
DB01380,2908,,,,
DB06781,2908,,,,
DB00396,2908,,,,
DB00421,2908,,,,
DB00603,2908,,,,
DB01110,2916,,,,
DB08142,2931,,,,
DB08568,2931,,,,
DB00398,2932,,,,
DB02656,2932,,,,
DB03044,2932,,,,
DB08142,2932,,,,
DB08568,2932,,,,
DB08901,2932,,,,
DB08846,2932,,,,
DB00262,2936,,,,
DB00145,2937,,,,
DB00608,2939,,,,
DB01242,2950,,,,
DB00358,3039,,,,
DB08486,3039,,,,
DB08486,3043,,,,
DB04216,3055,,,,
DB00317,3055,,,,
DB00398,3055,,,,
DB01254,3055,,,,
DB01268,3055,,,,
DB02567,3055,,,,
DB03044,3055,,,,
DB04716,3055,,,,
DB04849,3055,,,,
DB04868,3055,,,,
DB05294,3055,,,,
DB05424,3055,,,,
DB06589,3055,,,,
DB06616,3055,,,,
DB06999,3055,,,,
DB08052,3055,,,,
DB08916,3055,,,,
DB02546,3065,,,,
DB04297,3065,,,,
DB00227,3066,,,,
DB02546,3066,,,,
DB04297,3066,,,,
DB01030,3091,,,,
DB02740,3105,,,,
DB00121,3141,,,,
DB00227,3156,,,,
DB00641,3156,,,,
DB01095,3156,,,,
DB06693,3156,,,,
DB08860,3156,,,,
DB03796,3174,,,,
DB04690,3178,,,,
DB00993,3251,,,,
DB01033,3251,,,,
DB00245,3269,,,,
DB00246,3269,,,,
DB00283,3269,,,,
DB00321,3269,,,,
DB00334,3269,,,,
DB00341,3269,,,,
DB00342,3269,,,,
DB00363,3269,,,,
DB00366,3269,,,,
DB00370,3269,,,,
DB00434,3269,,,,
DB00455,3269,,,,
DB00458,3269,,,,
DB00477,3269,,,,
DB00557,3269,,,,
DB00656,3269,,,,
DB00719,3269,,,,
DB00734,3269,,,,
DB00737,3269,,,,
DB00751,3269,,,,
DB00768,3269,,,,
DB00792,3269,,,,
DB00797,3269,,,,
DB00920,3269,,,,
DB00934,3269,,,,
DB00950,3269,,,,
DB00967,3269,,,,
DB00972,3269,,,,
DB01075,3269,,,,
DB01114,3269,,,,
DB01173,3269,,,,
DB01175,3269,,,,
DB01176,3269,,,,
DB01224,3269,,,,
DB01238,3269,,,,
DB01239,3269,,,,
DB01620,3269,,,,
DB04841,3269,,,,
DB04890,3269,,,,
DB06148,3269,,,,
DB06698,3269,,,,
DB08799,3269,,,,
DB08800,3269,,,,
DB00215,3269,,,,
DB00408,3269,,,,
DB00433,3269,,,,
DB00472,3269,,,,
DB00476,3269,,,,
DB00502,3269,,,,
DB00623,3269,,,,
DB00679,3269,,,,
DB00692,3269,,,,
DB00831,3269,,,,
DB00836,3269,,,,
DB04946,3269,,,,
DB06216,3269,,,,
DB06684,3269,,,,
DB08954,3269,,,,
DB05381,3269,,,,
DB00501,3274,,,,
DB00585,3274,,,,
DB00751,3274,,,,
DB00863,3274,,,,
DB00927,3274,,,,
DB00321,3274,,,,
DB00458,3274,,,,
DB01242,3274,,,,
DB06148,3274,,,,
DB05381,3274,,,,
DB01108,3284,,,,
DB02329,3290,,,,
DB00695,3290,,,,
DB01708,3292,,,,
DB00655,3292,,,,
DB01645,3292,,,,
DB03467,3292,,,,
DB07352,3292,,,,
DB01645,3293,,,,
DB02375,3293,,,,
DB07352,3293,,,,
DB07795,3293,,,,
DB03044,3315,,,,
DB00615,3320,,,,
DB02424,3320,,,,
DB07594,3320,,,,
DB08356,3320,,,,
DB02424,3326,,,,
DB07594,3326,,,,
DB08356,3326,,,,
DB00216,3350,,,,
DB00246,3350,,,,
DB00268,3350,,,,
DB00315,3350,,,,
DB00321,3350,,,,
DB00334,3350,,,,
DB00363,3350,,,,
DB00413,3350,,,,
DB00477,3350,,,,
DB00490,3350,,,,
DB00571,3350,,,,
DB00656,3350,,,,
DB00669,3350,,,,
DB00734,3350,,,,
DB00904,3350,,,,
DB00952,3350,,,,
DB01186,3350,,,,
DB01224,3350,,,,
DB01238,3350,,,,
DB01392,3350,,,,
DB01616,3350,,,,
DB06684,3350,,,,
DB00370,3350,,,,
DB00398,3350,,,,
DB00408,3350,,,,
DB00434,3350,,,,
DB00458,3350,,,,
DB00476,3350,,,,
DB00502,3350,,,,
DB00543,3350,,,,
DB00623,3350,,,,
DB00679,3350,,,,
DB00692,3350,,,,
DB00706,3350,,,,
DB00831,3350,,,,
DB00953,3350,,,,
DB00988,3350,,,,
DB01171,3350,,,,
DB04861,3350,,,,
DB04946,3350,,,,
DB06148,3350,,,,
DB06216,3350,,,,
DB00216,3351,,,,
DB00246,3351,,,,
DB00268,3351,,,,
DB00315,3351,,,,
DB00334,3351,,,,
DB00363,3351,,,,
DB00413,3351,,,,
DB00571,3351,,,,
DB00669,3351,,,,
DB00904,3351,,,,
DB00918,3351,,,,
DB00952,3351,,,,
DB00953,3351,,,,
DB01186,3351,,,,
DB01224,3351,,,,
DB01238,3351,,,,
DB01392,3351,,,,
DB00476,3351,,,,
DB00502,3351,,,,
DB00734,3351,,,,
DB00935,3351,,,,
DB06216,3351,,,,
DB06288,3351,,,,
DB06694,3351,,,,
DB00216,3352,,,,
DB00246,3352,,,,
DB00268,3352,,,,
DB00315,3352,,,,
DB00334,3352,,,,
DB00363,3352,,,,
DB00413,3352,,,,
DB00669,3352,,,,
DB00734,3352,,,,
DB00918,3352,,,,
DB00952,3352,,,,
DB00953,3352,,,,
DB01186,3352,,,,
DB01224,3352,,,,
DB01238,3352,,,,
DB01392,3352,,,,
DB00457,3352,,,,
DB00476,3352,,,,
DB00502,3352,,,,
DB00935,3352,,,,
DB04946,3352,,,,
DB06216,3352,,,,
DB06288,3352,,,,
DB06694,3352,,,,
DB00216,3354,,,,
DB00246,3354,,,,
DB00334,3354,,,,
DB00363,3354,,,,
DB01224,3354,,,,
DB01238,3354,,,,
DB00476,3354,,,,
DB00502,3354,,,,
DB00669,3354,,,,
DB00734,3354,,,,
DB00935,3354,,,,
DB01392,3354,,,,
DB06216,3354,,,,
DB00216,3355,,,,
DB00315,3355,,,,
DB00669,3355,,,,
DB00952,3355,,,,
DB00953,3355,,,,
DB00476,3355,,,,
DB00502,3355,,,,
DB00734,3355,,,,
DB01224,3355,,,,
DB01392,3355,,,,
DB06148,3355,,,,
DB00246,3356,,,,
DB00268,3356,,,,
DB00321,3356,,,,
DB00334,3356,,,,
DB00363,3356,,,,
DB00370,3356,,,,
DB00408,3356,,,,
DB00413,3356,,,,
DB00434,3356,,,,
DB00458,3356,,,,
DB00472,3356,,,,
DB00477,3356,,,,
DB00502,3356,,,,
DB00656,3356,,,,
DB00679,3356,,,,
DB00715,3356,,,,
DB00734,3356,,,,
DB00751,3356,,,,
DB00924,3356,,,,
DB01079,3356,,,,
DB01186,3356,,,,
DB01224,3356,,,,
DB01238,3356,,,,
DB01239,3356,,,,
DB01242,3356,,,,
DB01392,3356,,,,
DB04599,3356,,,,
DB06148,3356,,,,
DB06288,3356,,,,
DB00285,3356,,,,
DB00398,3356,,,,
DB00476,3356,,,,
DB00490,3356,,,,
DB00543,3356,,,,
DB00571,3356,,,,
DB00623,3356,,,,
DB00669,3356,,,,
DB00831,3356,,,,
DB00920,3356,,,,
DB00935,3356,,,,
DB00953,3356,,,,
DB04946,3356,,,,
DB06216,3356,,,,
DB06594,3356,,,,
DB00216,3357,,,,
DB00268,3357,,,,
DB00413,3357,,,,
DB01079,3357,,,,
DB01186,3357,,,,
DB01239,3357,,,,
DB01242,3357,,,,
DB00398,3357,,,,
DB00434,3357,,,,
DB00472,3357,,,,
DB00476,3357,,,,
DB00477,3357,,,,
DB00481,3357,,,,
DB00490,3357,,,,
DB00502,3357,,,,
DB00656,3357,,,,
DB00734,3357,,,,
DB00920,3357,,,,
DB00935,3357,,,,
DB01065,3357,,,,
DB01114,3357,,,,
DB01238,3357,,,,
DB01392,3357,,,,
DB06148,3357,,,,
DB06288,3357,,,,
DB06594,3357,,,,
DB00246,3358,,,,
DB00268,3358,,,,
DB00334,3358,,,,
DB00363,3358,,,,
DB00370,3358,,,,
DB00408,3358,,,,
DB00413,3358,,,,
DB00434,3358,,,,
DB00656,3358,,,,
DB00734,3358,,,,
DB01079,3358,,,,
DB01186,3358,,,,
DB01224,3358,,,,
DB01238,3358,,,,
DB01239,3358,,,,
DB01242,3358,,,,
DB01392,3358,,,,
DB06148,3358,,,,
DB06594,3358,,,,
DB00215,3358,,,,
DB00234,3358,,,,
DB00285,3358,,,,
DB00321,3358,,,,
DB00398,3358,,,,
DB00433,3358,,,,
DB00458,3358,,,,
DB00472,3358,,,,
DB00476,3358,,,,
DB00477,3358,,,,
DB00490,3358,,,,
DB00502,3358,,,,
DB00623,3358,,,,
DB00669,3358,,,,
DB00679,3358,,,,
DB00831,3358,,,,
DB00920,3358,,,,
DB00935,3358,,,,
DB00953,3358,,,,
DB04946,3358,,,,
DB06216,3358,,,,
DB00246,3359,,,,
DB00334,3359,,,,
DB00363,3359,,,,
DB00370,3359,,,,
DB00721,3359,,,,
DB00728,3359,,,,
DB00889,3359,,,,
DB00904,3359,,,,
DB01043,3359,,,,
DB01224,3359,,,,
DB01238,3359,,,,
DB00669,3359,,,,
DB00904,3360,,,,
DB01079,3360,,,,
DB04873,3360,,,,
DB06684,3360,,,,
DB00246,3362,,,,
DB00334,3362,,,,
DB00363,3362,,,,
DB01224,3362,,,,
DB01238,3362,,,,
DB00285,3362,,,,
DB00321,3362,,,,
DB00398,3362,,,,
DB00408,3362,,,,
DB00434,3362,,,,
DB00476,3362,,,,
DB00477,3362,,,,
DB00481,3362,,,,
DB00502,3362,,,,
DB00539,3362,,,,
DB00543,3362,,,,
DB00623,3362,,,,
DB00669,3362,,,,
DB00675,3362,,,,
DB00679,3362,,,,
DB00734,3362,,,,
DB00831,3362,,,,
DB01242,3362,,,,
DB04946,3362,,,,
DB06148,3362,,,,
DB06288,3362,,,,
DB00216,3363,,,,
DB00246,3363,,,,
DB00334,3363,,,,
DB00363,3363,,,,
DB00751,3363,,,,
DB01224,3363,,,,
DB01238,3363,,,,
DB06288,3363,,,,
DB00268,3363,,,,
DB00370,3363,,,,
DB00398,3363,,,,
DB00408,3363,,,,
DB00477,3363,,,,
DB00502,3363,,,,
DB00543,3363,,,,
DB00669,3363,,,,
DB00679,3363,,,,
DB00706,3363,,,,
DB00734,3363,,,,
DB00831,3363,,,,
DB04946,3363,,,,
DB06148,3363,,,,
DB00626,3416,,,,
DB01250,3458,,,,
DB00179,3480,,,,
DB04216,3480,,,,
DB08846,3480,,,,
DB08865,3480,,,,
DB00244,3551,,,,
DB00795,3551,,,,
DB00995,3551,,,,
DB01169,3551,,,,
DB04716,3551,,,,
DB08877,3551,,,,
DB08865,3551,,,,
DB01017,3553,,,,
DB02115,3558,,,,
DB01025,3562,,,,
DB01411,3567,,,,
DB00328,3576,,,,
DB00500,3576,,,,
DB00586,3576,,,,
DB01009,3577,,,,
DB00257,3577,,,,
DB00586,3577,,,,
DB04216,3577,,,,
DB00688,3614,,,,
DB00811,3614,,,,
DB01024,3614,,,,
DB00688,3615,,,,
DB01024,3615,,,,
DB00811,3615,,,,
DB07340,3619,,,,
DB00170,3620,,,,
DB00609,3623,,,,
DB00951,3623,,,,
DB00398,3643,,,,
DB01268,3643,,,,
DB02375,3643,,,,
DB02733,3643,,,,
DB04751,3643,,,,
DB08846,3643,,,,
DB08865,3643,,,,
DB08865,3645,,,,
DB00317,3654,,,,
DB00619,3654,,,,
DB03496,3654,,,,
DB05294,3654,,,,
DB05424,3654,,,,
DB06589,3654,,,,
DB06616,3654,,,,
DB08568,3654,,,,
DB08877,3654,,,,
DB08916,3654,,,,
DB08865,3654,,,,
DB00227,3683,,,,
DB00641,3689,,,,
DB05424,3702,,,,
DB06616,3702,,,,
DB08865,3702,,,,
DB01268,3716,,,,
DB02567,3716,,,,
DB04716,3716,,,,
DB08877,3716,,,,
DB08865,3716,,,,
DB04716,3717,,,,
DB00530,3717,,,,
DB01268,3717,,,,
DB02567,3717,,,,
DB03496,3717,,,,
DB06589,3717,,,,
DB06616,3717,,,,
DB08877,3717,,,,
DB08865,3717,,,,
DB04716,3718,,,,
DB00398,3718,,,,
DB00530,3718,,,,
DB01254,3718,,,,
DB02567,3718,,,,
DB03496,3718,,,,
DB05424,3718,,,,
DB06616,3718,,,,
DB08568,3718,,,,
DB08877,3718,,,,
DB08865,3718,,,,
DB00570,3725,,,,
DB01029,3725,,,,
DB01169,3725,,,,
DB00619,3735,,,,
DB02375,3735,,,,
DB07352,3735,,,,
DB08399,3735,,,,
DB00321,3736,,,,
DB01115,3736,,,,
DB00257,3738,,,,
DB00661,3738,,,,
DB01115,3741,,,,
DB04855,3741,,,,
DB00321,3751,,,,
DB00458,3751,,,,
DB00321,3752,,,,
DB00458,3752,,,,
DB00808,3753,,,,
DB00204,3757,,,,
DB00308,3757,,,,
DB00342,3757,,,,
DB00457,3757,,,,
DB00489,3757,,,,
DB00590,3757,,,,
DB00661,3757,,,,
DB00679,3757,,,,
DB00908,3757,,,,
DB01110,3757,,,,
DB01118,3757,,,,
DB01136,3757,,,,
DB01162,3757,,,,
DB01182,3757,,,,
DB01218,3757,,,,
DB00201,3757,,,,
DB00215,3757,,,,
DB00246,3757,,,,
DB00257,3757,,,,
DB00289,3757,,,,
DB00334,3757,,,,
DB00358,3757,,,,
DB00363,3757,,,,
DB00379,3757,,,,
DB00450,3757,,,,
DB00455,3757,,,,
DB00458,3757,,,,
DB00472,3757,,,,
DB00477,3757,,,,
DB00490,3757,,,,
DB00502,3757,,,,
DB00608,3757,,,,
DB00675,3757,,,,
DB00734,3757,,,,
DB00889,3757,,,,
DB00904,3757,,,,
DB01036,3757,,,,
DB01074,3757,,,,
DB01113,3757,,,,
DB01114,3757,,,,
DB01173,3757,,,,
DB01184,3757,,,,
DB01186,3757,,,,
DB01224,3757,,,,
DB01238,3757,,,,
DB01244,3757,,,,
DB01268,3757,,,,
DB04855,3757,,,,
DB06155,3757,,,,
DB08954,3757,,,,
DB01075,3757,,,,
DB00222,3758,,,,
DB00350,3758,,,,
DB01016,3758,,,,
DB01124,3758,,,,
DB01016,3762,,,,
DB00914,3764,,,,
DB00922,3764,,,,
DB01251,3764,,,,
DB00222,3767,,,,
DB00308,3767,,,,
DB00661,3767,,,,
DB00922,3767,,,,
DB01016,3767,,,,
DB00204,3768,,,,
DB00308,3775,,,,
DB00908,3775,,,,
DB00561,3777,,,,
DB00356,3778,,,,
DB00436,3778,,,,
DB00999,3778,,,,
DB01003,3778,,,,
DB01110,3778,,,,
DB01110,3779,,,,
DB01110,3780,,,,
DB01110,3781,,,,
DB01110,3782,,,,
DB00257,3783,,,,
DB00468,3783,,,,
DB01110,3783,,,,
DB00808,3784,,,,
DB01244,3784,,,,
DB00321,3785,,,,
DB00586,3785,,,,
DB04953,3785,,,,
DB00586,3786,,,,
DB04953,3786,,,,
DB00398,3791,,,,
DB01268,3791,,,,
DB00317,3791,,,,
DB00530,3791,,,,
DB00643,3791,,,,
DB01254,3791,,,,
DB02567,3791,,,,
DB03044,3791,,,,
DB04216,3791,,,,
DB04716,3791,,,,
DB04849,3791,,,,
DB04879,3791,,,,
DB05294,3791,,,,
DB05465,3791,,,,
DB06589,3791,,,,
DB06999,3791,,,,
DB08052,3791,,,,
DB08597,3791,,,,
DB08896,3791,,,,
DB08901,3791,,,,
DB08846,3791,,,,
DB00398,3815,,,,
DB00619,3815,,,,
DB01254,3815,,,,
DB01268,3815,,,,
DB04868,3815,,,,
DB00317,3815,,,,
DB00530,3815,,,,
DB02567,3815,,,,
DB03044,3815,,,,
DB03496,3815,,,,
DB04849,3815,,,,
DB04879,3815,,,,
DB05294,3815,,,,
DB05424,3815,,,,
DB05465,3815,,,,
DB06589,3815,,,,
DB06616,3815,,,,
DB06999,3815,,,,
DB08568,3815,,,,
DB08877,3815,,,,
DB08901,3815,,,,
DB08865,3815,,,,
DB04331,3832,,,,
DB01087,3855,,,,
DB01254,3932,,,,
DB00317,3932,,,,
DB00398,3932,,,,
DB00530,3932,,,,
DB00619,3932,,,,
DB01268,3932,,,,
DB02567,3932,,,,
DB03044,3932,,,,
DB04849,3932,,,,
DB04868,3932,,,,
DB05294,3932,,,,
DB05424,3932,,,,
DB05465,3932,,,,
DB06616,3932,,,,
DB06999,3932,,,,
DB08399,3932,,,,
DB08597,3932,,,,
DB08916,3932,,,,
DB08865,3932,,,,
DB00126,3938,,,,
DB02701,3939,,,,
DB00290,3978,,,,
DB00290,3980,,,,
DB00398,3984,,,,
DB01254,3984,,,,
DB02567,3984,,,,
DB06999,3984,,,,
DB08865,3984,,,,
DB00398,3985,,,,
DB02567,3985,,,,
DB06999,3985,,,,
DB08865,3985,,,,
DB00513,4018,,,,
DB03424,4048,,,,
DB00744,4048,,,,
DB04905,4048,,,,
DB04743,4057,,,,
DB00317,4058,,,,
DB04849,4058,,,,
DB05424,4058,,,,
DB06589,4058,,,,
DB06616,4058,,,,
DB08877,4058,,,,
DB08865,4058,,,,
DB00619,4067,,,,
DB01268,4067,,,,
DB02567,4067,,,,
DB03044,4067,,,,
DB04849,4067,,,,
DB04868,4067,,,,
DB05294,4067,,,,
DB05424,4067,,,,
DB06589,4067,,,,
DB06616,4067,,,,
DB06999,4067,,,,
DB08865,4067,,,,
DB03496,4117,,,,
DB08142,4117,,,,
DB00752,4128,,,,
DB00780,4128,,,,
DB00909,4128,,,,
DB01037,4128,,,,
DB01171,4128,,,,
DB04820,4128,,,,
DB00601,4128,,,,
DB01367,4128,,,,
DB04216,4128,,,,
DB07352,4128,,,,
DB00752,4129,,,,
DB00780,4129,,,,
DB00909,4129,,,,
DB01037,4129,,,,
DB01367,4129,,,,
DB04820,4129,,,,
DB00170,4129,,,,
DB00197,4129,,,,
DB00412,4129,,,,
DB01132,4129,,,,
DB01196,4130,,,,
DB01196,4133,,,,
DB02375,4137,,,,
DB01268,4140,,,,
DB02567,4140,,,,
DB01268,4145,,,,
DB06616,4145,,,,
DB06589,4214,,,,
DB06616,4214,,,,
DB08877,4214,,,,
DB08865,4214,,,,
DB00317,4215,,,,
DB00530,4215,,,,
DB01254,4215,,,,
DB02567,4215,,,,
DB03496,4215,,,,
DB05424,4215,,,,
DB06616,4215,,,,
DB08877,4215,,,,
DB08865,4215,,,,
DB01268,4216,,,,
DB02567,4216,,,,
DB05294,4216,,,,
DB05424,4216,,,,
DB06616,4216,,,,
DB00317,4233,,,,
DB00530,4233,,,,
DB01268,4233,,,,
DB02567,4233,,,,
DB04216,4233,,,,
DB04849,4233,,,,
DB05294,4233,,,,
DB05424,4233,,,,
DB06589,4233,,,,
DB06616,4233,,,,
DB08079,4233,,,,
DB08916,4233,,,,
DB08846,4233,,,,
DB08865,4233,,,,
DB02567,4293,,,,
DB06616,4293,,,,
DB02567,4294,,,,
DB06616,4296,,,,
DB00393,4306,,,,
DB00396,4306,,,,
DB00421,4306,,,,
DB00588,4306,,,,
DB00700,4306,,,,
DB01023,4306,,,,
DB01395,4306,,,,
DB00834,4306,,,,
DB00860,4306,,,,
DB01234,4306,,,,
DB02255,4312,,,,
DB03880,4312,,,,
DB01197,4313,,,,
DB00694,4313,,,,
DB00878,4313,,,,
DB00997,4313,,,,
DB02255,4313,,,,
DB03880,4313,,,,
DB04216,4313,,,,
DB02255,4314,,,,
DB03880,4314,,,,
DB04216,4314,,,,
DB02255,4316,,,,
DB03880,4316,,,,
DB03880,4317,,,,
DB02255,4317,,,,
DB00878,4318,,,,
DB02255,4318,,,,
DB03880,4318,,,,
DB04216,4318,,,,
DB03880,4321,,,,
DB02255,4321,,,,
DB03880,4322,,,,
DB04216,4322,,,,
DB02255,4323,,,,
DB03880,4323,,,,
DB02255,4324,,,,
DB03880,4325,,,,
DB02255,4326,,,,
DB00244,4353,,,,
DB00535,4353,,,,
DB00583,4353,,,,
DB01065,4353,,,,
DB02266,4353,,,,
DB04216,4353,,,,
DB04743,4353,,,,
DB00661,4363,,,,
DB00694,4363,,,,
DB01204,4363,,,,
DB02375,4363,,,,
DB03467,4363,,,,
DB04216,4363,,,,
DB07352,4363,,,,
DB02567,4486,,,,
DB04849,4486,,,,
DB05294,4486,,,,
DB06616,4486,,,,
DB08865,4486,,,,
DB00457,4504,,,,
DB01065,4504,,,,
DB00173,4507,,,,
DB00115,4524,,,,
DB00980,4543,,,,
DB01065,4543,,,,
DB06594,4543,,,,
DB00980,4544,,,,
DB01065,4544,,,,
DB06594,4544,,,,
DB01094,4547,,,,
DB00115,4548,,,,
DB00200,4548,,,,
DB00115,4552,,,,
DB00200,4552,,,,
DB01411,4583,,,,
DB08865,4593,,,,
DB00115,4594,,,,
DB00200,4594,,,,
DB01268,4638,,,,
DB02375,4638,,,,
DB06616,4638,,,,
DB08059,4638,,,,
DB08162,4638,,,,
DB08568,4638,,,,
DB08877,4638,,,,
DB01254,4661,,,,
DB01136,4718,,,,
DB02567,4750,,,,
DB01254,4751,,,,
DB01268,4751,,,,
DB02567,4751,,,,
DB04216,4751,,,,
DB06616,4751,,,,
DB06999,4751,,,,
DB08877,4752,,,,
DB00198,4758,,,,
DB00198,4759,,,,
DB00558,4759,,,,
DB01041,4790,,,,
DB01411,4790,,,,
DB08814,4790,,,,
DB00170,4835,,,,
DB01065,4835,,,,
DB01087,4835,,,,
DB02709,4835,,,,
DB00457,4835,,,,
DB00608,4835,,,,
DB00619,4835,,,,
DB00627,4837,,,,
DB01110,4843,,,,
DB01234,4843,,,,
DB08814,4843,,,,
DB01110,4846,,,,
DB00242,4860,,,,
DB00900,4860,,,,
DB01667,4860,,,,
DB02857,4860,,,,
DB02567,4869,,,,
DB06616,4869,,,,
DB01136,4879,,,,
DB00285,4886,,,,
DB00476,4886,,,,
DB00847,4887,,,,
DB00321,4914,,,,
DB00619,4914,,,,
DB00398,4914,,,,
DB01268,4914,,,,
DB03044,4914,,,,
DB05465,4914,,,,
DB06616,4914,,,,
DB08877,4914,,,,
DB08865,4914,,,,
DB03044,4915,,,,
DB04868,4915,,,,
DB06616,4915,,,,
DB08877,4915,,,,
DB08865,4915,,,,
DB02567,4916,,,,
DB04868,4916,,,,
DB06616,4916,,,,
DB08877,4916,,,,
DB08865,4916,,,,
DB00398,4921,,,,
DB00619,4921,,,,
DB01254,4921,,,,
DB01268,4921,,,,
DB02567,4921,,,,
DB03044,4921,,,,
DB04849,4921,,,,
DB04868,4921,,,,
DB05465,4921,,,,
DB06589,4921,,,,
DB06616,4921,,,,
DB06999,4921,,,,
DB00321,4985,,,,
DB00704,4985,,,,
DB00836,4985,,,,
DB01183,4985,,,,
DB04841,4985,,,,
DB00321,4986,,,,
DB00370,4986,,,,
DB00704,4986,,,,
DB00836,4986,,,,
DB01183,4986,,,,
DB04841,4986,,,,
DB00704,4988,,,,
DB00836,4988,,,,
DB00904,4988,,,,
DB01183,4988,,,,
DB04841,4988,,,,
DB00715,5025,,,,
DB04786,5029,,,,
DB00126,5033,,,,
DB01275,5033,,,,
DB03796,5047,,,,
DB00368,5053,,,,
DB00668,5053,,,,
DB00197,5054,,,,
DB06616,5058,,,,
DB06999,5058,,,,
DB08568,5058,,,,
DB06616,5062,,,,
DB08568,5062,,,,
DB06616,5063,,,,
DB00126,5066,,,,
DB00121,5091,,,,
DB00121,5095,,,,
DB00121,5096,,,,
DB01268,5127,,,,
DB03496,5127,,,,
DB05465,5127,,,,
DB06616,5127,,,,
DB08142,5127,,,,
DB08568,5127,,,,
